Nombre;Dirección;Municipio;Código Postal;Provincia;Teléfono
Hospital Universitari Arnau de Vilanova de Lleida                        ;AV ALCALDE ROVIRA ROURE, 80                                       ;Lleida                 ;25198                    ;LLEIDA                ;973248100          
VITHAS Hospital Montserrat                                               ;CR BISBE TORRES, 13                                               ;Lleida                 ;25002                    ;LLEIDA                ;973266300          
Hospital Santa Maria                                                     ;AV ALCALDE ROVIRA ROURE, 44                                       ;Lleida                 ;25198                    ;LLEIDA                ;973727222          
Institut Trastorn Límit                                                  ;CR Pedro i Pons, 1                                                ;Sant Cugat del Vallès  ;08195                    ;BARCELONA             ;666301013          
Residència Santa Tecla Ponent                                            ;CR Menorca, 26                                                    ;Tarragona              ;43006                    ;TARRAGONA             ;977540678          
Centre Sociosanitari Llevant                                             ;CR JOAN FUSTER ORTELLS, S/N                                       ;Tarragona              ;43007                    ;TARRAGONA             ;977239412          
Clínica Activa Mútua 2008                                                ;CR PIN I SOLER, 12                                                ;Tarragona              ;43002                    ;TARRAGONA             ;977217900          
Hospital Viamed Monegal                                                  ;CR López Peláez, 15-17                                            ;Tarragona              ;43002                    ;TARRAGONA             ;977225012          
Hospital de Sant Pau i Santa Tecla                                       ;RB Vella, 14                                                      ;Tarragona              ;43003                    ;TARRAGONA             ;977259900          
Hospital Sociosanitari Francolí                                          ;CR Doctor Mallafre Guasch, S/N                                    ;Tarragona              ;43005                    ;TARRAGONA             ;977232714          
Hospital Universitari Joan XXIII de Tarragona                            ;CR DOCTOR MALLAFRÉ GUASCH, 4                                      ;Tarragona              ;43005                    ;TARRAGONA             ;977295800          
