Nombre,Comunidad Autónoma,Provincia,Municipio,Localidad,Direccion,Código Postal,Telefono,Zona Básica,Área de Salud,Modalidad Gestión,Dependencia de Gestión,Tipo de Centro,Acreditación Docente
VILLARRASA,ANDALUCÍA,HUELVA,Villarrasa,VILLARRASA,"C/ PINTA, S/N",21850,959439845,LA PALMA DEL CONDADO,DISTRITO: CONDADO - CAMPIÑA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
ESCACENA DEL CAMPO,ANDALUCÍA,HUELVA,Escacena del Campo,ESCACENA DEL CAMPO,"PASEO DE LA LIBERTAD, S/N",21870,959438520,LA PALMA DEL CONDADO,DISTRITO: CONDADO - CAMPIÑA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
MANZANILLA,ANDALUCÍA,HUELVA,Manzanilla,MANZANILLA,"C/ JUAN CARLOS I, S/N",21890,959439841,LA PALMA DEL CONDADO,DISTRITO: CONDADO - CAMPIÑA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
PATERNA DEL CAMPO,ANDALUCÍA,HUELVA,Paterna del Campo,PATERNA DEL CAMPO,"C/ ALCALDE GREGORIO FERNANDEZ ZAR, S/N",21880,959439688,LA PALMA DEL CONDADO,DISTRITO: CONDADO - CAMPIÑA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
VILLALBA DEL ALCOR,ANDALUCÍA,HUELVA,Villalba del Alcor,VILLALBA DEL ALCOR,"C/ FRANCISCO ALCALA, S/N",21860,959439854,LA PALMA DEL CONDADO,DISTRITO: CONDADO - CAMPIÑA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
LA PALMA DEL CONDADO,ANDALUCÍA,HUELVA,"Palma del Condado, La",LA PALMA DEL CONDADO,"AVDA. DE LA SALUD, S/N",21700,959438538,LA PALMA DEL CONDADO,DISTRITO: CONDADO - CAMPIÑA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,SI
BARRIADA DE LOS ÁNGELES,ANDALUCÍA,CÓRDOBA,Córdoba,CÓRDOBA,"C/ HERRERIA, S/N",14015,957355780,CÓRDOBA,DISTRITO: CÓRDOBA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
VILLARRUBIA,ANDALUCÍA,CÓRDOBA,Córdoba,VILLARRUBIA,"PLAZA DE LOS RIOS, S/N",14710,957355642,CÓRDOBA,DISTRITO: CÓRDOBA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
CERRO MURIANO,ANDALUCÍA,CÓRDOBA,Córdoba,CERRO MURIANO,"CL PROFESORA CATALINA CASTRO, S/N",14350,957354007,CÓRDOBA,DISTRITO: CÓRDOBA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
EL HIGUERÓN,ANDALUCÍA,CÓRDOBA,Córdoba,EL HIGUERÓN,"AVDA. PRINCIPAL DEL HIGUERON, S/N",14193,957355219,CÓRDOBA,DISTRITO: CÓRDOBA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
SANTA Mª DE TRASSIERRA,ANDALUCÍA,CÓRDOBA,Córdoba,SANTA Mª DE TRASSIERRA,"CL SANTA Mª DE TRASSIERRA, S/N",14011,957379780,CÓRDOBA,DISTRITO: CÓRDOBA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
SANTA ROSA,ANDALUCÍA,CÓRDOBA,Córdoba,CÓRDOBA,"AV. CRUZ DE JUÁREZ, S/N",14006,957352060,CÓRDOBA,DISTRITO: CÓRDOBA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,SI
AEROPUERTO,ANDALUCÍA,CÓRDOBA,Córdoba,CÓRDOBA,AVDA. DEL AEROPUERTO,14004,957353140,CÓRDOBA,DISTRITO: CÓRDOBA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,SI
CARLOS CASTILLA DEL PINO,ANDALUCÍA,CÓRDOBA,Córdoba,CÓRDOBA,"C/ ISLA LANZAROTE, Nº 5",14011,957354400,CÓRDOBA,DISTRITO: CÓRDOBA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,NO
CENTRO DE CÓRDOBA,ANDALUCÍA,CÓRDOBA,Córdoba,CÓRDOBA,"PLAZA COLON, Nº 30",14001,957355790,CÓRDOBA,DISTRITO: CÓRDOBA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,NO
FUENSANTA,ANDALUCÍA,CÓRDOBA,Córdoba,CÓRDOBA,"C/ NUÑEZ DE BALBOA, S/N",14010,957355257,CÓRDOBA,DISTRITO: CÓRDOBA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,SI
HUERTA DE LA REINA,ANDALUCÍA,CÓRDOBA,Córdoba,CÓRDOBA,"C/ BEATRIZ ENRIQUEZ, Nº 1",14006,957355830,CÓRDOBA,DISTRITO: CÓRDOBA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,SI
LA MARINA - FIGUEROA (CONSULTORIO AUXILIAR),ANDALUCÍA,CÓRDOBA,Córdoba,CÓRDOBA,"PLAZA MARINA ESPAÑOLA, S/N",14011,957355870,CÓRDOBA,DISTRITO: CÓRDOBA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
LEVANTE SUR,ANDALUCÍA,CÓRDOBA,Córdoba,CÓRDOBA,C/ SAGUNTO - ANTIGUO CUARTEL DE LEPANTO -,14007,957352001,CÓRDOBA,DISTRITO: CÓRDOBA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,SI
LEVANTE NORTE DE CÓRDOBA,ANDALUCÍA,CÓRDOBA,Córdoba,CÓRDOBA,"AVDA. CARLOS III, S/N",14014,957355700,CÓRDOBA,DISTRITO: CÓRDOBA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,SI
LUCANO,ANDALUCÍA,CÓRDOBA,Córdoba,CÓRDOBA,C/ LUCANO,14003,957352190,CÓRDOBA,DISTRITO: CÓRDOBA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,SI
OCCIDENTE "AZAHARA",ANDALUCÍA,CÓRDOBA,Córdoba,CÓRDOBA,"C/ DEL CAMPO, S/N",14005,957355609,CÓRDOBA,DISTRITO: CÓRDOBA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,SI
GUADALQUIVIR,ANDALUCÍA,CÓRDOBA,Córdoba,CÓRDOBA,"CL LIBERTADOR JOAQUÍN DA SILVA XAVIER, S/N",14013,957352120,CÓRDOBA,DISTRITO: CÓRDOBA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,SI
PONIENTE,ANDALUCÍA,CÓRDOBA,Córdoba,CÓRDOBA,C/ RAFAEL MARQUEZ MAZZANTINI,14005,957355053,CÓRDOBA,DISTRITO: CÓRDOBA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,SI
SECTOR SUR - SANTA VICTORIA,ANDALUCÍA,CÓRDOBA,Córdoba,CÓRDOBA,"AV DE CÁDIZ, S/N",14013,957012731,CÓRDOBA,DISTRITO: CÓRDOBA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,NO
ALCOLEA,ANDALUCÍA,CÓRDOBA,Córdoba,ALCOLEA,"C/ HAZA DEL DEMONIO, S/N",14610,957355225,CÓRDOBA,DISTRITO: CÓRDOBA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
ENCINAREJO,ANDALUCÍA,CÓRDOBA,Córdoba,ENCINAREJO DE CÓRDOBA,"PLAZA DE LA AUTONOMÍA, S/N",14711,957354027,CÓRDOBA,DISTRITO: CÓRDOBA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
SANTA CRUZ,ANDALUCÍA,CÓRDOBA,Córdoba,CÓRDOBA,"PLAZA ANDALUCÍA, S/N",14009,957379708,CÓRDOBA,DISTRITO: CÓRDOBA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
BARRIADA EL NARANJO,ANDALUCÍA,CÓRDOBA,Córdoba,CÓRDOBA,"C/ PARROCO AGUSTIN MOLINA, Nº 21",14012,957354031,CÓRDOBA,DISTRITO: CÓRDOBA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
ESTEPONA,ANDALUCÍA,MÁLAGA,Estepona,ESTEPONA,"AVDA. JUAN CARLOS I, S/N",29680,951970445,ESTEPONA,DISTRITO: COSTA DEL SOL,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,NO
LA LOBILLA,ANDALUCÍA,MÁLAGA,Estepona,ESTEPONA,"C/ MIGUEL DE MARIA LUQUE, Nº 2",29680,951270400,ESTEPONA,DISTRITO: COSTA DEL SOL,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,NO
CANCELADA,ANDALUCÍA,MÁLAGA,Estepona,CANCELADA,"PLAZA JOSE VAZQUEZ ESPINOSA, S/N",29688,951508049,ESTEPONA,DISTRITO: COSTA DEL SOL,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
CASARES,ANDALUCÍA,MÁLAGA,Casares,CASARES,"C/ PEÑON RODADO, S/N",29690,951270699,ESTEPONA,DISTRITO: COSTA DEL SOL,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
SAN LUIS DE SABINILLAS,ANDALUCÍA,MÁLAGA,Manilva,SAN LUIS DE SABINILLAS,"AVDA. DE ANDALUCÍA, S/N",29692,951270648,ESTEPONA,DISTRITO: COSTA DEL SOL,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
MANILVA,ANDALUCÍA,MÁLAGA,Manilva,MANILVA,C/ NUEVA Nº 3,29691,951270692,ESTEPONA,DISTRITO: COSTA DEL SOL,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
FUENGIROLA-OESTE,ANDALUCÍA,MÁLAGA,Fuengirola,FUENGIROLA,"CL DOCTOR GARCÍA VERDUGO, S/N",29640,951269411,FUENGIROLA,DISTRITO: COSTA DEL SOL,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,NO
LA CALA,ANDALUCÍA,MÁLAGA,Mijas,LA CALA DE MIJAS,"AVDA. SIERRA DE LAS NIEVES, Nº 4",29649,951267360,FUENGIROLA,DISTRITO: COSTA DEL SOL,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
MIJAS PUEBLO,ANDALUCÍA,MÁLAGA,Mijas,MIJAS,"PLAZA DELA PAZ, Nº 9",29650,951774031,FUENGIROLA,DISTRITO: COSTA DEL SOL,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
LAS LAGUNAS,ANDALUCÍA,MÁLAGA,Mijas,LAS LAGUNAS,"C/ LA UNIÓN, S/N",29640,951062247,FUENGIROLA,DISTRITO: COSTA DEL SOL,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,SI
LOS BOLICHES,ANDALUCÍA,MÁLAGA,Fuengirola,FUENGIROLA,"C/ ANTONIO CHENEL ANTOÑETE, S/N",29640,951269360,FUENGIROLA,DISTRITO: COSTA DEL SOL,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,NO
ISTÁN,ANDALUCÍA,MÁLAGA,Istán,ISTÁN,"C/ AZUFAIFO, Nº 12",29611,951270682,MARBELLA,DISTRITO: COSTA DEL SOL,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
BENAHAVÍS,ANDALUCÍA,MÁLAGA,Benahavís,BENAHAVÍS,"AVDA. ANDALUCÍA, S/N",29679,951270599,MARBELLA,DISTRITO: COSTA DEL SOL,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
OJÉN,ANDALUCÍA,MÁLAGA,Ojén,OJÉN,"C/ ALBERCA, Nº 4",29610,951270693,MARBELLA,DISTRITO: COSTA DEL SOL,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
LAS CHAPAS,ANDALUCÍA,MÁLAGA,Marbella,MARBELLA,"C/ PINSAPO, S/N",29601,951704027,MARBELLA,DISTRITO: COSTA DEL SOL,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
LA CAMPANA (NUEVA ANDALUCÍA),ANDALUCÍA,MÁLAGA,Marbella,NUEVA ANDALUCÍA,"AV GUSTAVO ADOLFO BÉQUER, S/N",29660,951975420,MARBELLA,DISTRITO: COSTA DEL SOL,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
SAN PEDRODE ALCANTARA,ANDALUCÍA,MÁLAGA,Marbella,SAN PEDRO DE ALCÁNTARA,"AVDA. PRINCIPE DE ASTURIAS, S/N",29670,951973436,MARBELLA,DISTRITO: COSTA DEL SOL,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,NO
LEGANITOS,ANDALUCÍA,MÁLAGA,Marbella,MARBELLA,"PLAZA LEGANITOS, Nº 5",29601,951973374,MARBELLA,DISTRITO: COSTA DEL SOL,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,NO
LAS ALBARIZAS,ANDALUCÍA,MÁLAGA,Marbella,MARBELLA,"AVDA. LAS ALBARIZAS, Nº 1",29603,951973354,MARBELLA,DISTRITO: COSTA DEL SOL,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,SI
BENALMÁDENA (ALCOLEA),ANDALUCÍA,MÁLAGA,Benalmádena,BENALMÁDENA,"AVDA. DE RETAMAR, Nº 71",29639,951501079,TORREMOLINOS - BENALMADENA,DISTRITO: COSTA DEL SOL,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
TORREQUEBRADA,ANDALUCÍA,MÁLAGA,Benalmádena,TORREQUEBRADA,"AVDA. DEL SOL, S/N",29630,951308120,TORREMOLINOS - BENALMADENA,DISTRITO: COSTA DEL SOL,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,SI
LA CARIHUELA,ANDALUCÍA,MÁLAGA,Torremolinos,TORREMOLINOS,"C/ NERJA, S/N",29620,951920920,TORREMOLINOS - BENALMADENA,DISTRITO: COSTA DEL SOL,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,NO
ARROYO DE LA MIEL - BENALMÁDENA,ANDALUCÍA,MÁLAGA,Benalmádena,ARROYO DE LA MIEL - BENALMÁDENA COSTA ,"CL MERCURIO, S/N",29630,951920720,TORREMOLINOS - BENALMADENA,DISTRITO: COSTA DEL SOL,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,SI
SAN MIGUEL,ANDALUCÍA,MÁLAGA,Torremolinos,TORREMOLINOS,"C/ PABLO BRUNA, S/N",29620,951924100,TORREMOLINOS - BENALMADENA,DISTRITO: COSTA DEL SOL,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,NO
JUN,ANDALUCÍA,GRANADA,Jun,JUN,C/ CORO SAN PIUS DE ALEMANIA,18213,958416126,GRANADA,DISTRITO: GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
LA CALETA,ANDALUCÍA,GRANADA,Granada,GRANADA,"AVDA. SUR, Nº 11",18014,958274866,GRANADA,DISTRITO: GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,SI
ALBAYCÍN,ANDALUCÍA,GRANADA,Granada,GRANADA,"PLAZA SAN NICOLÁS, S/N",18010,958206798,GRANADA,DISTRITO: GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,SI
ALMANJÁYAR,ANDALUCÍA,GRANADA,Granada,GRANADA,"C/ JOAQUÍN CAPULINO JÁUREGUI, S/N",18013,958158061,GRANADA,DISTRITO: GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,SI
CARTUJA,ANDALUCÍA,GRANADA,Granada,GRANADA,"AVDA. CASERIA DEL CERRO, S/N",18013,958152016,GRANADA,DISTRITO: GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,SI
CASERÍA DE MONTIJO,ANDALUCÍA,GRANADA,Granada,GRANADA,"AVDA. JUAN PABLO II, Nº 2",18013,958897820,GRANADA,DISTRITO: GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,SI
DOCTORES "DR. SALVADOR CABALLERO GARCÍA",ANDALUCÍA,GRANADA,Granada,GRANADA,"C/ DR. AZPITARTE, Nº 6",18012,958544127,GRANADA,DISTRITO: GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,SI
FORTUNY - VELUTTI -,ANDALUCÍA,GRANADA,Granada,GRANADA,"C/ TINAJILLA - ESQUINA NAVARRETE., Nº 1",18010,958805922,GRANADA,DISTRITO: GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,NO
GÓNGORA,ANDALUCÍA,GRANADA,Granada,GRANADA,"C/ POETA MANUEL DE GONGORA, Nº 8",18006,958544160,GRANADA,DISTRITO: GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,NO
GRAN CAPITÁN,ANDALUCÍA,GRANADA,Granada,GRANADA,"C/ GRAN CAPITAN, Nº 10",18002,958022600,GRANADA,DISTRITO: GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,SI
LA CHANA,ANDALUCÍA,GRANADA,Granada,GRANADA,"C/ VIRGEN DE LA CONSOLACION, S/N",18015,958897779,GRANADA,DISTRITO: GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,SI
LAS FLORES,ANDALUCÍA,GRANADA,Granada,GRANADA,"C/ GARCIA GOMEZ, Nº 8",18004,958523871,GRANADA,DISTRITO: GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,NO
MIRASIERRA,ANDALUCÍA,GRANADA,Granada,GRANADA,C/ Cº BAJO DE HUETOR,18008,958897633,GRANADA,DISTRITO: GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,SI
REALEJO,ANDALUCÍA,GRANADA,Granada,GRANADA,PLAZA CAMPO DEL PRINCIPE,18009,958575226,GRANADA,DISTRITO: GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,NO
ZAIDÍN CENTRO - ESTE,ANDALUCÍA,GRANADA,Granada,GRANADA,"AVDA. AMERICA, Nº 8",18006,958897727,GRANADA,DISTRITO: GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,NO
ZAIDÍN SUR,ANDALUCÍA,GRANADA,Granada,GRANADA,"C/ POETA GRACIAN, Nº 7",18007,958544215,GRANADA,DISTRITO: GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,SI
CARRETERA DE LA SIERRA,ANDALUCÍA,GRANADA,Granada,GRANADA,"C/ LAGUNA DE LA CALDERA, Nº 12",18008,958575026,GRANADA,DISTRITO: GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
CERRILLO DE MARACENA,ANDALUCÍA,GRANADA,Granada,CERRILLO DE MARACENA,"C/ EL POZO, Nº 18",18200,958157061,GRANADA,DISTRITO: GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
EL FARGUE,ANDALUCÍA,GRANADA,Granada,GRANADA,"C/ REAL, S/N",18182,958544026,GRANADA,DISTRITO: GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
PARQUE NUEVA GRANADA,ANDALUCÍA,GRANADA,Granada,GRANADA,"C/ MATILDE DE LA TORRE, Nº 10",18011,958566392,GRANADA,DISTRITO: GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
FÍGARES,ANDALUCÍA,GRANADA,Granada,GRANADA,"C/ JOAQUIN BLUME, S/N",18004,958897312,GRANADA,DISTRITO: GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,NO
HUÉTOR - SANTILLÁN,ANDALUCÍA,GRANADA,Huétor de Santillán,HUÉTOR-SANTILLÁN,"C/ AGUA, S/N",18183,958545236,GRANADA,DISTRITO: GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
BEAS DE GRANADA,ANDALUCÍA,GRANADA,Beas de Granada,BEAS DE GRANADA,"C/ GUADIX, Nº 7",18184,958546313,GRANADA,DISTRITO: GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
ALBAYDA LA CRUZ,ANDALUCÍA,GRANADA,Granada,GRANADA,AVDA. DE JUVENTUDES MUSICALES,18014,958840170,GRANADA,DISTRITO: GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,NO
EL CARPIO,ANDALUCÍA,CÓRDOBA,"Carpio, El",EL CARPIO,"AVDA. ECCE-HOMO, S/N",14620,957199655,BUJALANCE,DISTRITO: GUADALQUIVIR,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
CAÑETE DE LAS TORRES,ANDALUCÍA,CÓRDOBA,Cañete de las Torres,CAÑETE DE LAS TORRES,"PG LOS RUEDOS, S/N",14660,957199644,BUJALANCE,DISTRITO: GUADALQUIVIR,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
VALENZUELA,ANDALUCÍA,CÓRDOBA,Valenzuela,VALENZUELA,"C/ MONTE CLAVARIO, S/N",14670,957199500,BUJALANCE,DISTRITO: GUADALQUIVIR,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
MARUANAS (CONSULTORIO AUXILIAR),ANDALUCÍA,CÓRDOBA,"Carpio, El",MARUANAS,"PLAZA MAYOR, S/N",14620,957199655,BUJALANCE,DISTRITO: GUADALQUIVIR,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
VILLAFRANCA DE CÓRDOBA,ANDALUCÍA,CÓRDOBA,Villafranca de Córdoba,VILLAFRANCA DE CÓRDOBA,"C/ LA CARRERA, S/N",14420,957199630,BUJALANCE,DISTRITO: GUADALQUIVIR,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
BUJALANCE "D. ANTONIO FERNANDEZ DE MOLINA Y CAÑAS",ANDALUCÍA,CÓRDOBA,Bujalance,BUJALANCE,"CL TRASCASTILLO, S/N",14650,957199598,BUJALANCE,DISTRITO: GUADALQUIVIR,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,SI
CAÑADA DEL RABADÁN,ANDALUCÍA,CÓRDOBA,Fuente Palmera,CAÑADA DEL RABADÁN,"AVDA. ANDALUCÍA, Nº 54",14113,957719779,FUENTE PALMERA,DISTRITO: GUADALQUIVIR,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
FUENTE PALMERA,ANDALUCÍA,CÓRDOBA,Fuente Palmera,FUENTE PALMERA,"C/ SEGOVIA Y MERCEDITA, Nº 1",14120,957719791,FUENTE PALMERA,DISTRITO: GUADALQUIVIR,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,NO
OCHAVILLO DEL RIO,ANDALUCÍA,CÓRDOBA,Fuente Palmera,OCHAVILLO DEL RIO,"C/ FUENTE PALMERA, S/N",14129,957719951,FUENTE PALMERA,DISTRITO: GUADALQUIVIR,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
EL VILLAR  (CONSULTORIO AUXILIAR),ANDALUCÍA,CÓRDOBA,Fuente Palmera,FUENTE PALMERA,"CL REAL, Nº 2",14120,957719776,FUENTE PALMERA,DISTRITO: GUADALQUIVIR,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
FUENTE CARRETERO,ANDALUCÍA,CÓRDOBA,Fuente Palmera,FUENTE CARRETERO,"CL SARGENTO CHAPARRO, Nº 2",14110,957719508,FUENTE PALMERA,DISTRITO: GUADALQUIVIR,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
SAN SEBASTIÁN DE LOS BALLESTEROS,ANDALUCÍA,CÓRDOBA,San Sebastián de los Ballesteros,SAN SEBASTIÁN DE LOS BALLESTEROS,"C/ NUEVAS POBLACIONES, S/N",14150,957307551,LA CARLOTA,DISTRITO: GUADALQUIVIR,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
LA CARLOTA,ANDALUCÍA,CÓRDOBA,"Carlota, La",LA CARLOTA,"AVDA. LA PAZ, S/N",14100,957307579,LA CARLOTA,DISTRITO: GUADALQUIVIR,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,NO
LA VICTORIA,ANDALUCÍA,CÓRDOBA,"Victoria, La",LA VICTORIA,"C/ VILLACISNEROS, Nº2",14140,957307923,LA CARLOTA,DISTRITO: GUADALQUIVIR,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
ARRECIFE,ANDALUCÍA,CÓRDOBA,"Carlota, La",EL ARRECIFE,C/ DE LA PLATA,14191,957307510,LA CARLOTA,DISTRITO: GUADALQUIVIR,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
OBEJO,ANDALUCÍA,CÓRDOBA,Obejo,OBEJO,"C/ EUGENIO BARROSO, Nº 6",14310,957365505,LA SIERRA,DISTRITO: GUADALQUIVIR,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
VILLAVICIOSA DE CÓRDOBA,ANDALUCÍA,CÓRDOBA,Villaviciosa de Córdoba,VILLAVICIOSA DE CÓRDOBA,"C/ TOMAS CARRETERO , S/N",14300,957365516,LA SIERRA,DISTRITO: GUADALQUIVIR,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,NO
VILLAHARTA,ANDALUCÍA,CÓRDOBA,Villaharta,VILLAHARTA,"AVDA. ANDALUCÍA, Nº 4",14210,957365542,LA SIERRA,DISTRITO: GUADALQUIVIR,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
EL VACAR (CONSULTORIO AUXILIAR),ANDALUCÍA,CÓRDOBA,Villaviciosa de Córdoba,EL VACAR,"CL EL VACAR, S/N",14320,957365516,LA SIERRA,DISTRITO: GUADALQUIVIR,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
VILLA DEL RÍO,ANDALUCÍA,CÓRDOBA,Villa del Río,VILLA DEL RÍO,"CL RIBERA SAN ISIDRO LABRADOR, Nº 12",14640,957199505,MONTORO,DISTRITO: GUADALQUIVIR,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
